year,state,dem_two_party_share
1964,ND,0.580570856
1964,NE,0.5261
1964,NH,0.6389
1964,NJ,0.659595858
1964,NM,0.595415242
1964,NV,0.5858
1964,NY,0.68649244
1964,OH,0.6294
1964,OK,0.5575
1964,OR,0.639245586
1964,PA,0.65167637
1964,RI,0.8087
1964,SC,0.411041104
1964,SD,0.5561
1964,TN,0.555055506
1964,TX,0.63440537
1964,UT,0.5486
1964,VA,0.536903329
1964,VT,0.663066307
1964,WA,0.623817193
1964,WI,0.621957327
1964,WV,0.6794
1964,WY,0.5656
1968,AK,0.485044922
1968,AL,0.572302048
1968,AR,0.494457124
1968,AZ,0.389977728
1968,CA,0.483362143
1968,CO,0.450207017
1968,CT,0.52750533
1968,DE,0.479764787
1968,FL,0.432829555
1968,GA,0.468066492
1968,HI,0.607226226
1968,IA,0.435042097
1968,ID,0.350600343
1968,IL,0.483941686
1968,IN,0.430335297
1968,KS,0.387673068
1968,KY,0.462303536
1968,LA,0.545859133
1968,MA,0.657038582
1968,MD,0.509645738
1968,ME,0.562163261
1968,MI,0.537483266
1968,MN,0.565681961
1968,MO,0.493623744
1968,MS,0.629994527
1968,MT,0.451133529
1968,NC,0.425309091
1968,ND,0.40596793
1968,NE,0.347157045
1968,NH,0.45746121
1968,NJ,0.488175863
1968,NM,0.433951965
1968,NV,0.452910663
1968,NY,0.529024027
1968,OH,0.487071898
1968,OK,0.401531317
1968,OR,0.467685076
1968,PA,0.519484772
1968,RI,0.668301847
1968,SC,0.437370753
1968,SD,0.440617452
1968,TN,0.426341316
1968,TX,0.507838538
1968,UT,0.396216332
1968,VA,0.428345419
1968,VT,0.45211882
1968,WA,0.511423931
1968,WI,0.480360243
1968,WV,0.548793981
1968,WY,0.38906541
1972,AK,0.373261456
1972,AL,0.260692049
1972,AR,0.308550186
1972,AZ,0.330145621
1972,CA,0.430287964
1972,CO,0.355864198
1972,CT,0.406585613
1972,DE,0.396638996
1972,FL,0.278808545
1972,GA,0.247266526
1972,HI,0.3752
1972,IA,0.412682231
1972,ID,0.288435977
1972,IL,0.406972072
1972,IN,0.335243841
1972,KS,0.30362289
1972,KY,0.35428979
1972,LA,0.302658268
1972,MA,0.545107111
1972,MD,0.378827824
1972,ME,0.385031019
1972,MI,0.426589124
1972,MN,0.471786994
1972,MO,0.3771
1972,MS,0.200654196
1972,MT,0.395176446
1972,NC,0.293746823
1972,ND,0.365726548
1972,NE,0.295
1972,NH,0.352691218
1972,NJ,0.373906854
1972,NM,0.374551788
1972,NV,0.3632
1972,NY,0.413132832
1972,OH,0.389662231
1972,OK,0.245649949
1972,OR,0.44661321
1972,PA,0.398310261
1972,RI,0.468991083
1972,SC,0.283451777
1972,SD,0.456707134
1972,TN,0.305284761
1972,TX,0.334271923
1972,UT,0.28065511
1972,VA,0.307472438
1972,VT,0.367900736
1972,WA,0.404353286
1972,WI,0.450164745
1972,WV,0.3639
1972,WY,0.306292722
1976,AK,0.381079637
1976,AL,0.566707342
1976,AR,0.650245319
1976,AZ,0.413850473
1976,CA,0.490817169
1976,CO,0.440649902
1976,CT,0.47392886
1976,DE,0.527447996
1976,FL,0.526833722
1976,GA,0.669408225
1976,HI,0.512823112
1976,IA,0.494843255
1976,ID,0.382680412
1976,IL,0.489972513
1976,IN,0.461522925
1976,KS,0.461254234
1976,KY,0.536513426
1976,LA,0.529586405
1976,MA,0.581149663
1976,MD,0.5304
1976,ME,0.49566921
1976,MI,0.472575557
1976,MN,0.566446554
1976,MO,0.51841331
1976,MS,0.509666804
1976,MT,0.46213355
1976,NC,0.555533219
1976,ND,0.469936384
1976,NE,0.393855607
1976,NH,0.442577886
1976,NJ,0.488979592
1976,NM,0.487529032
1976,NV,0.477286935
1976,NY,0.522268021
1976,OH,0.501383622
1976,OK,0.493870935
1976,OR,0.499161426
1976,PA,0.513604402
1976,RI,0.556717619
1976,SC,0.565659617
1976,SD,0.492547835
1976,TN,0.565736246
1976,TX,0.515992332
1976,UT,0.350192528
1976,VA,0.493161954
1976,VT,0.442552318
1976,WA,0.479762772
1976,WI,0.508579061
1976,WV,0.5807
1976,WY,0.401674907
1980,AK,0.327018326
1980,AL,0.493243243
1980,AR,0.496811291
1980,AZ,0.317839055
1980,CA,0.40530474
1980,CO,0.360691897
1980,CT,0.44439317
1980,DE,0.487293658
1980,FL,0.409487343
1980,GA,0.576569124
1980,HI,0.510832383
1980,IA,0.429318207
1980,ID,0.274849973
1980,IL,0.456605013
1980,IN,0.401985906
1980,KS,0.365262234
1980,KY,0.492449317
1980,LA,0.471892728
1980,MA,0.499103407
1980,MD,0.516206746
1980,ME,0.480878671
1980,MI,0.464531643
1980,MN,0.522119919
1980,MO,0.464349283
1980,MS,0.493180187
1980,MT,0.363361345
1980,NC,0.489013267
1980,ND,0.290197812
1980,NE,0.284372611
1980,NH,0.32930654
1980,NJ,0.425936154
1980,NM,0.400871935
1980,NV,0.300682098
1980,NY,0.485273028
1980,OH,0.442653105
1980,OK,0.366293076
1980,OR,0.444482759
1980,PA,0.461388074
1980,RI,0.561682573
1980,SC,0.492162688
1980,SD,0.343634786
1980,TN,0.498506848
1980,TX,0.428335057
1980,UT,0.220377116
1980,VA,0.43186201
1980,VT,0.464000966
1980,WA,0.429064153
1980,WI,0.474088713
1980,WV,0.523709389
1980,WY,0.308685576
1984,AK,0.30946954
1984,AL,0.387370978
1984,AR,0.387707574
1984,AZ,0.328819725
1984,CA,0.417797125
1984,CO,0.356331169
1984,CT,0.390016071
1984,DE,0.400461338
1984,FL,0.346669334
1984,GA,0.398059224
1984,HI,0.44298423
1984,IA,0.462787414
1984,ID,0.267240506
1984,IL,0.435307128
1984,IN,0.379265224
1984,KS,0.329725903
1984,KY,0.396036616
1984,LA,0.38585144
1984,MA,0.486001004
1984,MD,0.472420376
1984,ME,0.389318342
1984,MI,0.404544084
1984,MN,0.50090671
1984,MO,0.3998
1984,MS,0.377202699
1984,MT,0.387024835
1984,NC,0.379697364
1984,ND,0.342660178
1984,NE,0.289955717
1984,NH,0.310711776
1984,NJ,0.394803102
1984,NM,0.39654301
1984,NV,0.32682478
1984,NY,0.459817397
1984,OH,0.405290792
1984,OK,0.308924255
1984,OR,0.438936277
1984,PA,0.463002114
1984,RI,0.481741573
1984,SC,0.35885795
1984,SD,0.367025018
1984,TN,0.418167186
1984,TX,0.362113919
1984,UT,0.248840492
1984,VA,0.373213926
1984,VT,0.413349539
1984,WA,0.434333198
1984,WI,0.453784901
1984,WV,0.447297162
1984,WY,0.285974684
1988,AK,0.378364281
1988,AL,0.402504292
1988,AR,0.428064123
1988,AZ,0.392542304
1988,CA,0.481913061
1988,CO,0.46044336
1988,CT,0.474152757
1988,DE,0.437600644
1988,FL,0.387502516
1988,GA,0.397984887
1988,HI,0.548071097
1988,IA,0.551456506
1988,ID,0.367111836
1988,IL,0.489475274
1988,IN,0.398774239
1988,KS,0.432740214
1988,KY,0.441448692
1988,LA,0.448082986
1988,MA,0.539803265
1988,MD,0.485348907
1988,ME,0.442249546
1988,MI,0.460197501
1988,MN,0.535472118
1988,MO,0.480036116
1988,MS,0.394805982
1988,MT,0.470133306
1988,NC,0.418439005
1988,ND,0.434040404
1988,NE,0.39456467
1988,NH,0.36763813
1988,NJ,0.430999595
1988,NM,0.474888619
1988,NV,0.391816491
1988,NY,0.520677829
1988,OH,0.445284922
1988,OK,0.416087088
1988,OR,0.523853305
1988,PA,0.48834393
1988,RI,0.558802852
1988,SC,0.379289463
1988,SD,0.468095813
1988,TN,0.417839903
1988,TX,0.436555891
1988,UT,0.326142261
1988,VA,0.396382742
1988,VT,0.482164572
1988,WA,0.508070247
1988,WI,0.51819373
1988,WV,0.523780855
1988,WY,0.385731683
1992,AK,0.43425738
1992,AL,0.461788339
1992,AR,0.599922671
1992,AZ,0.48698096
1992,CA,0.585163005
1992,CO,0.528020212
1992,CT,0.541251167
1992,DE,0.551979927
1992,FL,0.488209441
