k,fighter,elo,match_id,date,weight_class
20,Alberto Crane,1480.28774368332,4300,2008-01-23,Lightweight
20,Alberto Mina,1510,2306,2014-08-23,Welterweight
20,Alberto Mina,1520.016275130916,1691,2015-11-28,Welterweight
20,Alberto Mina,1529.4407969672327,1435,2016-07-07,Welterweight
20,Alberto Mina,1518.5954450769277,559,2018-05-12,Welterweight
20,Alberto Uda,1490,1477,2016-05-29,Middleweight
20,Alberto Uda,1480.28774368332,1360,2016-08-20,Middleweight
20,Alejandro Perez,1510,2179,2014-11-15,Bantamweight
20,Alejandro Perez,1499.71225631668,1905,2015-06-13,Bantamweight
20,Alejandro Perez,1509.7205382437342,1708,2015-11-21,Bantamweight
20,Alejandro Perez,1519.4408316408462,1536,2016-04-10,Bantamweight
20,Alejandro Perez,1528.587256592709,887,2017-08-05,Bantamweight
20,Alejandro Perez,1537.7663010269512,729,2017-12-09,Bantamweight
20,Alejandro Perez,1546.6835606032007,584,2018-04-14,Bantamweight
20,Alejandro Perez,1555.3479280073987,456,2018-07-14,Bantamweight
20,Alejandro Perez,1543.7682271449976,157,2019-03-02,Bantamweight
20,Aleksandar Rakic,1510,878,2017-09-02,Light Heavyweight
20,Aleksandar Rakic,1519.71225631668,446,2018-07-22,Light Heavyweight
20,Aleksandar Rakic,1529.14549997581,261,2018-12-08,Light Heavyweight
20,Aleksandar Rakic,1538.3085872825525,15,2019-06-01,Light Heavyweight
20,Aleksei Kunchenko,1510,377,2018-09-15,Welterweight
20,Aleksei Kunchenko,1520.3177693744658,268,2018-12-01,Welterweight
20,Aleksei Oleinik,1509.71225631668,2385,2014-06-28,Heavyweight
20,Aleksei Oleinik,1519.43278790048,2164,2014-11-22,Heavyweight
20,Aleksei Oleinik,1508.8740498334923,1398,2016-07-13,Heavyweight
20,Aleksei Oleinik,1518.6186896752295,1143,2017-01-15,Heavyweight
20,Aleksei Oleinik,1528.083313103687,936,2017-07-08,Heavyweight
20,Aleksei Oleinik,1517.2849947476345,803,2017-11-04,Heavyweight
20,Aleksei Oleinik,1526.7879026543615,554,2018-05-12,Heavyweight
20,Aleksei Oleinik,1536.0184090328455,374,2018-09-15,Heavyweight
20,Aleksei Oleinik,1524.9854138831668,76,2019-04-20,Heavyweight
20,Alen Amedovski,1490,80,2019-04-20,Middleweight
